OMIM	efo_uri	efo_label
608099	http://www.orpha.net/ORDO/Orphanet_62	Autosomal recessive limb-girdle muscular dystrophy type 2D
268305	http://www.orpha.net/ORDO/Orphanet_3102	Richieri Costa-Pereira syndrome
304340	http://www.orpha.net/ORDO/Orphanet_1568	X-linked intellectual disability - Dandy-Walker malformation - basal ganglia disease - Seizures
300986	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
300998	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
300260	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
300987	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
300967	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
301024	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
300968	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
300659	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
301032	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
300966	http://www.orpha.net/ORDO/Orphanet_98464	X-linked syndromic intellectual disability
607483	http://www.orpha.net/ORDO/Orphanet_65284	Biotin-responsive basal ganglia disease
312840	http://www.orpha.net/ORDO/Orphanet_85285	X-linked intellectual disability, Schimke type
614097	http://www.ebi.ac.uk/efo/EFO_0004144	acatalasia
115500	http://www.ebi.ac.uk/efo/EFO_0004144	acatalasia
MTHU016742	http://www.ebi.ac.uk/efo/EFO_1001062	nodular goiter
252600	http://www.orpha.net/ORDO/Orphanet_577	Mucolipidosis type III
252605	http://www.orpha.net/ORDO/Orphanet_577	Mucolipidosis type III
126600	http://www.orpha.net/ORDO/Orphanet_75376	Familial drusen
126700	http://www.orpha.net/ORDO/Orphanet_75376	Familial drusen
300636	http://www.orpha.net/ORDO/Orphanet_319612	X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency
133900	http://www.orpha.net/ORDO/Orphanet_141145	Hemifacial hypertrophy
300495	http://www.ebi.ac.uk/efo/EFO_0003758	autism
613436	http://www.ebi.ac.uk/efo/EFO_0003758	autism
300425	http://www.ebi.ac.uk/efo/EFO_0003758	autism
209850	http://www.ebi.ac.uk/efo/EFO_0003758	autism
615091	http://www.ebi.ac.uk/efo/EFO_0003758	autism
300830	http://www.ebi.ac.uk/efo/EFO_0003758	autism
612100	http://www.ebi.ac.uk/efo/EFO_0003758	autism
300847	http://www.ebi.ac.uk/efo/EFO_0003758	autism
615032	http://www.ebi.ac.uk/efo/EFO_0003758	autism
300872	http://www.ebi.ac.uk/efo/EFO_0003758	autism
613410	http://www.ebi.ac.uk/efo/EFO_0003758	autism
617053	http://purl.obolibrary.org/obo/MONDO_0014888	MIRAGE syndrome
614039	http://www.orpha.net/ORDO/Orphanet_300570	Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation
229100	http://www.orpha.net/ORDO/Orphanet_51208	Formiminoglutamic aciduria
256020	http://www.orpha.net/ORDO/Orphanet_2613	Nail-patella-like renal disease
159550	http://www.orpha.net/ORDO/Orphanet_2585	Ataxia - pancytopenia
605589	http://www.orpha.net/ORDO/Orphanet_101101	Charcot-Marie-Tooth disease type 2B2
161900	http://www.orpha.net/ORDO/Orphanet_88659	Autosomal dominant progressive nephropathy with hypertension
601362	http://www.orpha.net/ORDO/Orphanet_1580	Distal monosomy 10p
308940	http://www.orpha.net/ORDO/Orphanet_1018	X-linked diffuse leiomyomatosis - Alport syndrome
150700	http://www.orpha.net/ORDO/Orphanet_1018	X-linked diffuse leiomyomatosis - Alport syndrome
228960	http://www.orpha.net/ORDO/Orphanet_483	Congenital high-molecular-weight kininogen deficiency
300068	http://www.orpha.net/ORDO/Orphanet_99429	Complete androgen insensitivity syndrome
300274	http://www.orpha.net/ORDO/Orphanet_99429	Complete androgen insensitivity syndrome
608799	http://www.orpha.net/ORDO/Orphanet_79322	DPM1-CDG
607745	http://www.orpha.net/ORDO/Orphanet_140927	Benign familial neonatal-infantile seizures
272460	http://www.orpha.net/ORDO/Orphanet_3275	Spondylocarpotarsal synostosis
256300	http://www.orpha.net/ORDO/Orphanet_839	Congenital nephrotic syndrome, Finnish type
261100	http://www.orpha.net/ORDO/Orphanet_35858	Gräsbeck-Imerslund disease
609919	http://www.ebi.ac.uk/efo/EFO_0003832	gallbladder disease
137920	http://www.orpha.net/ORDO/Orphanet_93111	Renal cysts and diabetes syndrome
616026	http://www.orpha.net/ORDO/Orphanet_93111	Renal cysts and diabetes syndrome
139210	http://www.orpha.net/ORDO/Orphanet_2588	Myhre syndrome
608516	http://www.ebi.ac.uk/efo/EFO_0003761	unipolar depression
309000	http://www.orpha.net/ORDO/Orphanet_534	Oculocerebrorenal syndrome
614328	http://www.orpha.net/ORDO/Orphanet_294023	Neonatal inflammatory skin and bowel disease
616069	http://www.orpha.net/ORDO/Orphanet_294023	Neonatal inflammatory skin and bowel disease
607855	http://www.orpha.net/ORDO/Orphanet_258	Congenital muscular dystrophy type 1A
145000	http://www.orpha.net/ORDO/Orphanet_99877	Familial parathyroid adenoma
277460	http://www.orpha.net/ORDO/Orphanet_96	Ataxia with vitamin E deficiency
209920	http://www.orpha.net/ORDO/Orphanet_572	Immunodeficiency by defective expression of HLA class 2
616034	http://purl.obolibrary.org/obo/MONDO_0014464	progressive encephalopathy with leukodystrophy due to DECR deficiency
273300	http://www.ebi.ac.uk/efo/EFO_1000566	Testicular Germ Cell Tumor
258200	http://www.orpha.net/ORDO/Orphanet_2920	Oliver syndrome
274190	http://www.orpha.net/ORDO/Orphanet_2951	Absent thumb - short stature - immunodeficiency
311900	http://www.orpha.net/ORDO/Orphanet_2886	TARP syndrome
220200	http://www.ebi.ac.uk/efo/EFO_1000890	Dandy-Walker syndrome
182600	http://www.orpha.net/ORDO/Orphanet_100984	Autosomal dominant spastic paraplegia type 3
232500	http://www.orpha.net/ORDO/Orphanet_308698	Glycogen storage disease due to glycogen branching enzyme deficiency, childhood neuromuscular form
165590	http://www.orpha.net/ORDO/Orphanet_2756	Orofaciodigital syndrome type 10
609889	http://www.orpha.net/ORDO/Orphanet_231154	Combined immunodeficiency T+ B+ due to partial RAG1 deficiency
601214	http://www.orpha.net/ORDO/Orphanet_34217	Naxos disease
266100	http://www.orpha.net/ORDO/Orphanet_3006	Pyridoxine-dependent epilepsy
251190	http://www.orpha.net/ORDO/Orphanet_2643	Microcephalic primordial dwarfism, Toriello type
236900	http://www.orpha.net/ORDO/Orphanet_79156	Seizures - intellectual disability due to hydroxylysinuria
612237	http://purl.obolibrary.org/obo/MONDO_0012825	extraskeletal myxoid chondrosarcoma
181270	http://www.orpha.net/ORDO/Orphanet_2036	Scalp-ear-nipple syndrome
616323	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616322	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616314	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
601462	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616326	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616040	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
254190	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616720	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616228	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616330	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
610542	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
603034	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
605809	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
254300	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
608930	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616321	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
254210	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616227	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616304	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616325	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616313	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
614198	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
614750	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
608931	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616224	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
616324	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
615120	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes
271665	http://www.orpha.net/ORDO/Orphanet_93358	Spondyloepimetaphyseal dysplasia - short limb - abnormal calcification
259420	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
259440	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
610682	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
610915	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
615220	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
614856	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
613982	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
613848	http://www.orpha.net/ORDO/Orphanet_216812	Osteogenesis imperfecta type 3
614495	http://www.orpha.net/ORDO/Orphanet_300525	Pseudohypoaldosteronism type 2D
613205	http://www.orpha.net/ORDO/Orphanet_157973	Congenital muscular dystrophy due to LMNA mutation
213200	http://www.orpha.net/ORDO/Orphanet_1170	Autosomal recessive cerebelloparenchymal disorder type 3
606072	http://www.orpha.net/ORDO/Orphanet_265	Autosomal dominant limb-girdle muscular dystrophy type 1C
607801	http://www.orpha.net/ORDO/Orphanet_265	Autosomal dominant limb-girdle muscular dystrophy type 1C
605899	http://www.orpha.net/ORDO/Orphanet_407	Glycine encephalopathy
611209	http://www.orpha.net/ORDO/Orphanet_263508	COG1-CDG
235555	http://www.orpha.net/ORDO/Orphanet_79303	Congenital bile acid synthesis defect type 2
611291	http://www.orpha.net/ORDO/Orphanet_169079	Cernunnos-XLF deficiency
190650	http://www.orpha.net/ORDO/Orphanet_3133	Say-Field-Coldwell syndrome
129400	http://www.orpha.net/ORDO/Orphanet_1071	Ankyloblepharon - ectodermal defects - cleft lip/palate
106260	http://www.orpha.net/ORDO/Orphanet_1071	Ankyloblepharon - ectodermal defects - cleft lip/palate
604563	http://www.orpha.net/ORDO/Orphanet_99956	Charcot-Marie-Tooth disease type 4B2
614524	http://www.orpha.net/ORDO/Orphanet_2021	Fibrochondrogenesis
228520	http://www.orpha.net/ORDO/Orphanet_2021	Fibrochondrogenesis
616897	http://www.ebi.ac.uk/efo/EFO_0005571	osteochondrodysplasia
132600	http://www.ebi.ac.uk/efo/EFO_0009082	Pilomatrixoma
600383	http://www.orpha.net/ORDO/Orphanet_2496	Mesomelia-synostoses syndrome
300106	http://www.orpha.net/ORDO/Orphanet_93349	X-linked spondyloepimetaphyseal dysplasia
311510	http://www.orpha.net/ORDO/Orphanet_2379	Early-onset parkinsonism - intellectual disability
221770	http://www.orpha.net/ORDO/Orphanet_2770	Nasu-Hakola disease
618193	http://www.orpha.net/ORDO/Orphanet_2770	Nasu-Hakola disease
614857	http://www.orpha.net/ORDO/Orphanet_369955	Methylmalonic acidemia with homocystinuria, type cblJ
218040	http://www.orpha.net/ORDO/Orphanet_3071	Costello syndrome
545000	http://www.orpha.net/ORDO/Orphanet_551	MERRF
112800	http://www.orpha.net/ORDO/Orphanet_93394	Brachydactyly type A4
234000	http://www.orpha.net/ORDO/Orphanet_330	Congenital factor XII deficiency
614976	http://www.orpha.net/ORDO/Orphanet_65759	Carpenter syndrome
201000	http://www.orpha.net/ORDO/Orphanet_65759	Carpenter syndrome
267760	http://www.orpha.net/ORDO/Orphanet_1574	Retinal degeneration - nanophthalmos - glaucoma
151050	http://www.orpha.net/ORDO/Orphanet_2658	Lenz-Majewski hyperostotic dwarfism
275595	http://www.orpha.net/ORDO/Orphanet_3368	Trigonocephaly - bifid nose - acral anomalies
609161	http://www.orpha.net/ORDO/Orphanet_228169	Autosomal dominant striatal neurodegeneration
616922	http://www.orpha.net/ORDO/Orphanet_228169	Autosomal dominant striatal neurodegeneration
615763	http://www.orpha.net/ORDO/Orphanet_183506	Genetic central nervous system malformation
615771	http://www.orpha.net/ORDO/Orphanet_183506	Genetic central nervous system malformation
615412	http://www.orpha.net/ORDO/Orphanet_183506	Genetic central nervous system malformation
615411	http://www.orpha.net/ORDO/Orphanet_183506	Genetic central nervous system malformation
615282	http://www.orpha.net/ORDO/Orphanet_183506	Genetic central nervous system malformation
227010	http://www.orpha.net/ORDO/Orphanet_999	Ermine phenotype
614889	http://www.orpha.net/ORDO/Orphanet_319547	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency
151380	http://www.ebi.ac.uk/efo/EFO_0000221	acute monocytic leukemia
500002	http://www.orpha.net/ORDO/Orphanet_2596	Myopathy and diabetes mellitus
176670	http://www.orpha.net/ORDO/Orphanet_740	Hutchinson-Gilford progeria syndrome
301500	http://www.orpha.net/ORDO/Orphanet_324	Fabry disease
610048	http://www.orpha.net/ORDO/Orphanet_101068	Congenital stromal corneal dystrophy
270800	http://www.orpha.net/ORDO/Orphanet_100986	Autosomal recessive spastic paraplegia type 5A
269920	http://www.orpha.net/ORDO/Orphanet_309324	Free sialic acid storage disease, infantile form
256540	http://www.orpha.net/ORDO/Orphanet_351	Galactosialidosis
310200	http://www.orpha.net/ORDO/Orphanet_98896	Duchenne muscular dystrophy
229070	http://www.orpha.net/ORDO/Orphanet_52901	Isolated follicle stimulating hormone deficiency
618096	http://www.orpha.net/ORDO/Orphanet_95710	Non-acquired premature ovarian failure
604805	http://www.orpha.net/ORDO/Orphanet_100993	Autosomal dominant spastic paraplegia type 12
271620	http://www.orpha.net/ORDO/Orphanet_163665	Spondyloepiphyseal dysplasia tarda, Kohn type
140000	http://www.orpha.net/ORDO/Orphanet_2438	Hand-foot-genital syndrome
240300	http://www.orpha.net/ORDO/Orphanet_3453	Autoimmune polyendocrinopathy type 1
618282	http://www.orpha.net/ORDO/Orphanet_331223	Hyper-IgE syndrome
300905	http://www.orpha.net/ORDO/Orphanet_352675	X-linked Charcot-Marie-Tooth disease type 6
304100	http://www.orpha.net/ORDO/Orphanet_1497	X-linked complicated corpus callosum dysgenesis
607197	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618257	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618410	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618145	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618457	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618422	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618481	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618456	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
618434	http://purl.obolibrary.org/obo/MONDO_0019588	autosomal recessive nonsyndromic deafness
191400	http://www.orpha.net/ORDO/Orphanet_2634	Mesomelic dwarfism, Reinhardt-Pfeiffer type
119500	http://www.orpha.net/ORDO/Orphanet_1300	Autosomal dominant popliteal pterygium syndrome
300280	http://purl.obolibrary.org/obo/MONDO_0010292	Uruguay Faciocardiomusculoskeletal syndrome
253400	http://www.orpha.net/ORDO/Orphanet_83419	Proximal spinal muscular atrophy type 3
604856	http://www.ebi.ac.uk/efo/EFO_1000318	Langerhans Cell Histiocytosis
612674	http://www.orpha.net/ORDO/Orphanet_171848	Polyneuropathy - hearing loss - ataxia - retinitis pigmentosa - cataract
125500	http://www.orpha.net/ORDO/Orphanet_166265	Dentinogenesis imperfecta type 3
222700	http://www.orpha.net/ORDO/Orphanet_470	Lysinuric protein intolerance
193250	http://www.orpha.net/ORDO/Orphanet_2454	Familial intestinal malrotation - facial anomalies
616568	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer
234700	http://www.orpha.net/ORDO/Orphanet_60041	Congenital heart block
600251	http://www.orpha.net/ORDO/Orphanet_141258	Tessier number 4 facial cleft
613028	http://www.ebi.ac.uk/efo/EFO_0005543	glioma
613029	http://www.ebi.ac.uk/efo/EFO_0005543	glioma
613533	http://www.orpha.net/ORDO/Orphanet_217340	17q21.31 microduplication  syndrome
229600	http://www.orpha.net/ORDO/Orphanet_469	Hereditary fructose intolerance
166780	http://www.orpha.net/ORDO/Orphanet_2792	Otofaciocervical syndrome
615560	http://www.orpha.net/ORDO/Orphanet_2792	Otofaciocervical syndrome
154600	http://www.orpha.net/ORDO/Orphanet_91412	Marcus-Gunn syndrome
170650	http://www.ebi.ac.uk/efo/EFO_0006343	chronic periodontitis
260950	http://www.ebi.ac.uk/efo/EFO_0006343	chronic periodontitis
601338	http://www.orpha.net/ORDO/Orphanet_1171	Cerebellar ataxia - areflexia - pes cavus - optic atrophy - sensorineural hearing loss
205700	http://www.ebi.ac.uk/efo/EFO_1001264	Anemia, Hemolytic, Autoimmune
226700	http://www.orpha.net/ORDO/Orphanet_79404	Junctional epidermolysis bullosa, Herlitz type
115800	http://www.orpha.net/ORDO/Orphanet_98990	Coralliform cataract
115700	http://www.orpha.net/ORDO/Orphanet_98990	Coralliform cataract
611597	http://www.orpha.net/ORDO/Orphanet_98992	Partial congenital cataract
128235	http://www.orpha.net/ORDO/Orphanet_71517	Rapid-onset dystonia-parkinsonism
614409	http://www.orpha.net/ORDO/Orphanet_320391	Autosomal recessive spastic paraplegia type 46
610805	http://purl.obolibrary.org/obo/MONDO_0012561	congenital anomalies of kidney and urinary tract 1, susceptibility to
181000	http://www.orpha.net/ORDO/Orphanet_797	Sarcoidosis
612387	http://www.orpha.net/ORDO/Orphanet_797	Sarcoidosis
612388	http://www.orpha.net/ORDO/Orphanet_797	Sarcoidosis
226200	http://www.orpha.net/ORDO/Orphanet_168601	Congenital enteropathy due to enteropeptidase deficiency
615328	http://www.orpha.net/ORDO/Orphanet_363523	Hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome
607136	http://www.orpha.net/ORDO/Orphanet_98759	Spinocerebellar ataxia type 17
614973	http://www.orpha.net/ORDO/Orphanet_398173	Focal facial dermal dysplasia type II
112910	http://www.orpha.net/ORDO/Orphanet_93382	Brachydactyly type A6
201710	http://www.orpha.net/ORDO/Orphanet_90790	Congenital lipoid adrenal hyperplasia due to STAR deficency
615607	http://www.orpha.net/ORDO/Orphanet_169082	Combined immunodeficiency due to CD3gamma deficiency
613679	http://www.orpha.net/ORDO/Orphanet_325	Congenital factor II deficiency
226600	http://purl.obolibrary.org/obo/MONDO_0009179	recessive dystrophic epidermolysis bullosa
600057	http://www.orpha.net/ORDO/Orphanet_93930	Bladder exstrophy
153650	http://www.orpha.net/ORDO/Orphanet_182050	MYH9-related disease
605249	http://www.orpha.net/ORDO/Orphanet_182050	MYH9-related disease
600208	http://www.orpha.net/ORDO/Orphanet_182050	MYH9-related disease
155100	http://www.orpha.net/ORDO/Orphanet_182050	MYH9-related disease
140350	http://www.orpha.net/ORDO/Orphanet_2118	Hawkinsinuria
137245	http://www.ebi.ac.uk/efo/EFO_0000191	MALT lymphoma
175690	http://www.orpha.net/ORDO/Orphanet_2935	Crossed polysyndactyly
118450	http://www.orpha.net/ORDO/Orphanet_261600	Alagille syndrome due to 20p12 microdeletion
254130	http://www.orpha.net/ORDO/Orphanet_45448	Miyoshi myopathy
613318	http://www.orpha.net/ORDO/Orphanet_45448	Miyoshi myopathy
194190	http://www.orpha.net/ORDO/Orphanet_280	Wolf-Hirschhorn syndrome
130020	http://www.orpha.net/ORDO/Orphanet_285	Ehlers-Danlos syndrome, hypermobility type
176860	http://www.orpha.net/ORDO/Orphanet_745	Hereditary thrombophilia due to congenital protein C deficiency
612304	http://www.orpha.net/ORDO/Orphanet_745	Hereditary thrombophilia due to congenital protein C deficiency
615512	http://www.orpha.net/ORDO/Orphanet_868	Triose phosphate-isomerase deficiency
400042	http://www.orpha.net/ORDO/Orphanet_1646	Partial chromosome Y deletion
415000	http://www.orpha.net/ORDO/Orphanet_1646	Partial chromosome Y deletion
606854	http://www.orpha.net/ORDO/Orphanet_101070	Bilateral frontoparietal polymicrogyria
617866	http://www.orpha.net/ORDO/Orphanet_93426	Short rib dysplasia
616546	http://www.orpha.net/ORDO/Orphanet_93426	Short rib dysplasia
617925	http://www.orpha.net/ORDO/Orphanet_93426	Short rib dysplasia
617895	http://www.orpha.net/ORDO/Orphanet_93426	Short rib dysplasia
611913	http://www.orpha.net/ORDO/Orphanet_261197	Proximal 16p11.2 microdeletion syndrome
301040	http://www.orpha.net/ORDO/Orphanet_847	Alpha-thalassemia - X-linked intellectual disability syndrome
181700	http://www.orpha.net/ORDO/Orphanet_91490	Isolated congenital sclerocornea
605670	http://www.orpha.net/ORDO/Orphanet_67042	Late-onset retinal degeneration
300751	http://www.orpha.net/ORDO/Orphanet_75563	X-linked sideroblastic anemia
146510	http://www.orpha.net/ORDO/Orphanet_672	Pallister-Hall syndrome
615849	http://www.orpha.net/ORDO/Orphanet_672	Pallister-Hall syndrome
604187	http://www.orpha.net/ORDO/Orphanet_100991	Autosomal dominant spastic paraplegia type 10
605913	http://www.orpha.net/ORDO/Orphanet_391320	East Texas bleeding disorder
615774	http://www.orpha.net/ORDO/Orphanet_404466	Female infertility due to zona pellucida defect
617712	http://www.orpha.net/ORDO/Orphanet_404466	Female infertility due to zona pellucida defect
148820	http://www.orpha.net/ORDO/Orphanet_896	Waardenburg syndrome type 3
262400	http://www.orpha.net/ORDO/Orphanet_231662	Isolated growth hormone deficiency type IA
617039	http://www.ebi.ac.uk/efo/EFO_1001103	persistent fetal circulation syndrome
617035	http://www.ebi.ac.uk/efo/EFO_1001103	persistent fetal circulation syndrome
608649	http://www.orpha.net/ORDO/Orphanet_88621	Ichthyosis prematurity syndrome
253550	http://www.orpha.net/ORDO/Orphanet_83418	Proximal spinal muscular atrophy type 2
215100	http://www.orpha.net/ORDO/Orphanet_309789	Rhizomelic chondrodysplasia punctata type 1
